occurred_at,status,title,show,author,published,duration,played_up_to,starred,url,podcast_uuid,episode_uuid
"2025-04-07 14:18:34",played,"Tricycles that lean","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-05-31 05:00:00",2484,2484,,https://traffic.megaphone.fm/PAD6969401805.mp3?updated=1714741591,7073c8a0-29b8-013b-ef68-0acc26574db2,52dadd2e-121b-406b-91c2-c6b075681a4a
"2025-05-06 10:43:45",in-progress,"The Acquisition (Charlie Javice)",Swindled,Swindled,"2025-04-06 05:00:00",4502,3795,,https://pscrb.fm/rss/p/dts.podtrac.com/redirect.mp3/audioboom.com/posts/8899975.mp3?modified=1778107820&sid=5170514&source=rss,20eee370-ce17-0135-9e60-5bb073f92b78,e4a94bcc-dee1-4a42-ae11-1fec78da1ed7
"2025-05-06 10:43:45",played,"Rory McIlroy's (blank)","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-06-07 05:00:00",2827,2827,,https://traffic.megaphone.fm/PAD6664837337.mp3?updated=1714744332,7073c8a0-29b8-013b-ef68-0acc26574db2,4555bc6c-ef69-43cb-b298-6c24509a21be
"2025-05-20 01:04:18",in-progress,"Why Your Goals Are Making You Miserable","The Art of Accomplishment","Joe Hudson and Brett Kistler","2025-05-09 20:30:00",1787,1787,,https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/a363cb20-c6b1-4078-b93b-fd401d4a685e/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=a363cb20-c6b1-4078-b93b-fd401d4a685e&feed=zksImfUP,01518cc0-3d01-0139-333d-0acc26574db2,f0764999-758e-436d-8475-d016b8847ab2
"2025-06-09 21:41:05",played,"How To Stop Seeking Approval","The Art of Accomplishment","Joe Hudson and Brett Kistler","2025-03-14 19:30:00",1586,1586,,https://afp-933324-injected.calisto.simplecastaudio.com/e83bf197-ae48-4679-bb45-5aa4369b6e74/episodes/60b565c0-6e01-4829-aea0-855035713f33/audio/128/default.mp3?aid=rss_feed&awCollectionId=e83bf197-ae48-4679-bb45-5aa4369b6e74&awEpisodeId=60b565c0-6e01-4829-aea0-855035713f33&feed=zksImfUP,01518cc0-3d01-0139-333d-0acc26574db2,53948fbc-5a58-4d19-a79e-66d3a8c950d2
"2025-06-09 21:41:05",played,"Manhole Easter eggs","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-06-28 05:00:00",2508,2508,,https://traffic.megaphone.fm/PAD3426527360.mp3?updated=1718285013,7073c8a0-29b8-013b-ef68-0acc26574db2,774b6bf0-4bb7-46a9-ab34-59c3b8d96660
"2025-06-09 21:41:05",played,"Rolling a 7","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-06-14 05:00:00",2560,2560,,https://traffic.megaphone.fm/PAD2303403199.mp3?updated=1718132773,7073c8a0-29b8-013b-ef68-0acc26574db2,9077e5de-b0a3-409d-808a-5717f0c7e72f
"2025-06-09 21:41:05",played,"A secret base, revealed","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-07-05 05:00:00",2828,2827,,https://traffic.megaphone.fm/PAD8106278387.mp3?updated=1719440779,7073c8a0-29b8-013b-ef68-0acc26574db2,a0a84ed1-ea6c-40f1-bebc-70193cb82a47
"2025-06-09 21:41:05",played,"Smashing products","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-06-21 05:00:00",2435,2435,,https://traffic.megaphone.fm/PAD3766197822.mp3?updated=1717204297,7073c8a0-29b8-013b-ef68-0acc26574db2,eefd515d-83f7-49db-b4c2-97a0141994de
"2025-06-18 14:57:33",played,"Inverted guitars","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-07-12 05:00:00",2765,2765,,https://traffic.megaphone.fm/PAD7527204727.mp3?updated=1719578444,7073c8a0-29b8-013b-ef68-0acc26574db2,4b59fcce-db8c-4f60-a68a-08c14755e359
"2025-07-14 06:37:44",played,"The king of everywhere","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-08-09 05:00:00",2828,2828,,https://traffic.megaphone.fm/PAD7501888613.mp3?updated=1721859328,7073c8a0-29b8-013b-ef68-0acc26574db2,40f1bb1e-f9f7-4796-b20f-88967352c64c
"2025-07-19 09:39:18",played,"Painting the shark","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-09-06 05:00:00",2702,2702,,https://traffic.megaphone.fm/PAD7122273829.mp3?updated=1724110739,7073c8a0-29b8-013b-ef68-0acc26574db2,4373a556-05b4-4cce-af31-83e9383a49a2
"2025-07-19 09:39:18",played,"65 luggage bags","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-08-23 05:00:00",2740,2740,,https://traffic.megaphone.fm/PAD6803209822.mp3?updated=1723072574,7073c8a0-29b8-013b-ef68-0acc26574db2,66b435f3-53c2-48ee-85a4-88a71bce4ac7
"2025-07-19 09:39:18",played,"Mexican Robocop","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-08-16 05:00:00",2788,2788,,https://traffic.megaphone.fm/PAD1455324687.mp3?updated=1722560246,7073c8a0-29b8-013b-ef68-0acc26574db2,77095859-b756-48a2-b2e6-da6105a997a3
"2025-07-19 09:39:18",played,"Anti-stress vending machines","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-08-30 05:00:00",2257,2257,,https://traffic.megaphone.fm/PAD2838655453.mp3?updated=1724950910,7073c8a0-29b8-013b-ef68-0acc26574db2,7b6c334e-d945-43b8-87b4-d0f9b438399e
"2025-07-22 21:44:05",played,"George Washington and boxing","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-09-13 05:00:00",2677,2677,,https://traffic.megaphone.fm/PAD7555392160.mp3?updated=1724337352,7073c8a0-29b8-013b-ef68-0acc26574db2,3b926934-6569-4391-804d-917a6d9e9320
"2025-07-22 21:44:05",played,"The First Steps to Reducing Your Anxiety with author Mel Robbins","A Bit of Optimism","Simon Sinek","2025-01-14 08:00:00",3275,3275,,https://episode.flightcast.com/skeniirc3toyfe6fbzmfs78t.mp3,f384cdb0-81cb-0138-ee1c-0acc26574db2,ea950175-2768-4548-ae6b-cc8f76a8c3e1
"2025-08-13 17:58:04",played,"A greengrocer's book","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-09-20 05:00:00",2598,2598,,https://traffic.megaphone.fm/PAD9306573062.mp3?updated=1726568123,7073c8a0-29b8-013b-ef68-0acc26574db2,dd074a19-2a8f-4195-a476-4f9efa08b3aa
"2025-08-15 06:23:34",played,"Why the 2025 F1 car launches will be… weird","P1 with Matt and Tommy",Stak,"2025-02-10 05:00:00",1676,1240,,https://sphinx.acast.com/p/open/s/63e24225436c36001119fc66/e/67a6612b9c6f7f7f28edbd6c/media.mp3,b5dfd840-8a8f-013b-f2f5-0acc26574db2,f385635b-f4f8-4d83-948a-a2dc88b27d09
"2025-08-15 06:23:36",played,"Spurs’ Injury Excuses & Roy’s Emotional United Exit | Stick to Football EP 70","Stick to Football","The Overlap","2025-02-13 05:00:00",4757,1056,,https://sphinx.acast.com/p/open/s/65118b05e7b19e00113ac2c0/e/67ab451d9c6f7f7f28ee365f/media.mp3,090a5fe0-3edc-013c-f6d4-0acc26574db2,3f02cd0a-bcf9-4de1-be5d-43d309a7c196
"2025-08-15 06:23:47",played,"Musical fly swatters","Lateral with Tom Scott","Tom Scott and David Bodycombe","2024-08-02 05:00:00",2744,2744,,https://traffic.megaphone.fm/PAD8547061054.mp3?updated=1721426015,7073c8a0-29b8-013b-ef68-0acc26574db2,29337dd1-169a-4ba2-8d29-3177803e55a0
"2025-08-15 06:49:41",played,"The cow's jaw","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-03-21 05:00:00",2979,2978,,https://traffic.megaphone.fm/PAD3770939440.mp3?updated=1741487170,7073c8a0-29b8-013b-ef68-0acc26574db2,1ec2b566-014e-4b90-8933-10227a59a120
"2025-08-18 17:51:00",played,"Bonus Compilation - June 2025","No Such Thing As A Fish - Club Fish (via Patreon)","No Such Thing As A Fish","2025-06-24 00:01:02",2420,2420,,https://c10.patreonusercontent.com/4/patreon-media/p/post/132097606/9f5f911cd2914a5c96d2f1cdc0306115/eyJhIjoxLCJpc19hdWRpbyI6MSwicCI6MX0%3D/1.mp3?token-hash=ngeJIYOnKUPzrslV_-l_gZJP9CpElMMCsnte7A9ifJk%3D&token-time=1755561600,161a2a80-1b72-013c-f610-0acc26574db2,0b8a0e31-1809-4535-bfbc-88269d9694dc
"2025-08-18 17:51:00",played,"Tuvalu's lost star","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-06-13 05:00:00",2881,2881,,https://traffic.megaphone.fm/PAD7096611244.mp3?updated=1749772465,7073c8a0-29b8-013b-ef68-0acc26574db2,521a9208-86b1-4e67-8913-8684195ab0da
"2025-08-18 17:51:00",played,"Shooting a finger gun","Lateral with Tom Scott","Tom Scott and David Bodycombe","2025-03-28 05:00:00",2962,2962,,https://traffic.megaphone.fm/PAD9681232825.mp3?updated=1741819038,7073c8a0-29b8-013b-ef68-0acc26574db2,a7e8ec8a-486e-4164-91af-f22484365c30
"2025-08-18 17:51:00",played,"The Brilliance of Boredom with creative polymath Elle Cordova","A Bit of Optimism","Simon Sinek","2025-08-12 08:00:00",3922,3922,,https://episode.flightcast.com/qac5za14s8dp2mm85rdv60ue.mp3,f384cdb0-81cb-0138-ee1c-0acc26574db2,c6dd1a93-54ff-4ccb-bbba-a80508e8b30b
