occurred_at,flight_number,airline_icao,origin_iata,destination_iata,distance_miles,cabin_class,reason,meta
2022-02-21T16:19,275,BAW,LHR,LAS,5216,economy,,"{""aircraft"":""Boeing 777-200 ER"",""seat_type"":""WINDOW"",""dep_terminal"":""5"",""dep_gate"":""B32"",""arr_terminal"":""3"",""departed_scheduled"":""2022-02-21T16:10"",""departed_actual"":""2022-02-21T16:19"",""arrived_actual"":""2022-02-21T19:14""}"
2022-02-24T08:21,2258,AAL,LAS,ORD,1511,business,,"{""aircraft"":""Airbus A321"",""seat_type"":""WINDOW"",""pnr"":""JUDPVD"",""dep_terminal"":""1"",""dep_gate"":""D5"",""arr_terminal"":""3"",""arr_gate"":""H11B"",""departed_scheduled"":""2022-02-24T08:20"",""departed_actual"":""2022-02-24T08:21"",""arrived_scheduled"":""2022-02-24T13:50"",""arrived_actual"":""2022-02-24T13:30""}"
2022-02-24T15:46,3174,AAL,ORD,CLE,315,business,,"{""aircraft"":""Bombardier CRJ700"",""seat_type"":""WINDOW"",""pnr"":""JUDPVD"",""dep_terminal"":""3"",""dep_gate"":""G13"",""arr_terminal"":""Main"",""arr_gate"":""C5"",""departed_scheduled"":""2022-02-24T15:38"",""departed_actual"":""2022-02-24T15:46"",""arrived_scheduled"":""2022-02-24T18:06"",""arrived_actual"":""2022-02-24T18:49""}"
2022-02-28T06:53,1590,AAL,CLE,DFW,1021,business,,"{""aircraft"":""Boeing 737-800"",""seat"":""4F"",""seat_type"":""WINDOW"",""pnr"":""YZAETO"",""dep_terminal"":""Main"",""dep_gate"":""C10"",""arr_terminal"":""C"",""arr_gate"":""C15"",""departed_scheduled"":""2022-02-28T07:00"",""departed_actual"":""2022-02-28T06:53"",""arrived_scheduled"":""2022-02-28T09:18"",""arrived_actual"":""2022-02-28T08:38""}"
2022-02-28T14:42,1064,AAL,DFW,AUS,191,business,,"{""aircraft"":""Airbus A321"",""seat"":""5F"",""seat_type"":""WINDOW"",""pnr"":""YZAETO"",""dep_terminal"":""A"",""dep_gate"":""A15"",""arr_terminal"":""Main"",""arr_gate"":""26"",""departed_scheduled"":""2022-02-28T14:46"",""departed_actual"":""2022-02-28T14:42"",""arrived_scheduled"":""2022-02-28T15:51"",""arrived_actual"":""2022-02-28T15:48""}"
2022-03-10T14:15,2054,DAL,AUS,SLC,1086,economy,,"{""aircraft"":""Airbus A220-100"",""seat_type"":""WINDOW"",""dep_terminal"":""Main"",""dep_gate"":""7"",""arr_gate"":""A24"",""departed_scheduled"":""2022-03-10T12:15"",""departed_actual"":""2022-03-10T14:15"",""arrived_scheduled"":""2022-03-10T14:20"",""arrived_actual"":""2022-03-10T16:11""}"
2022-03-10T23:19,2837,DAL,SLC,LAS,368,economy,,"{""aircraft"":""Boeing 737-800"",""seat_type"":""WINDOW"",""dep_gate"":""A23"",""arr_terminal"":""1"",""arr_gate"":""D40"",""departed_scheduled"":""2022-03-10T22:59"",""departed_actual"":""2022-03-10T23:19"",""arrived_scheduled"":""2022-03-10T23:30"",""arrived_actual"":""2022-03-10T23:58""}"
2022-03-11T21:01,274,BAW,LAS,LHR,5216,economy,,"{""aircraft"":""Boeing 777-200 ER"",""seat_type"":""MIDDLE"",""dep_terminal"":""3"",""arr_terminal"":""5"",""departed_scheduled"":""2022-03-11T20:50"",""departed_actual"":""2022-03-11T21:01"",""arrived_scheduled"":""2022-03-12T14:50"",""arrived_actual"":""2022-03-12T15:08""}"
2022-06-02T21:01,1335,TAP,LGW,OPO,795,economy,,"{""aircraft"":""Airbus A320"",""seat_type"":""WINDOW"",""pnr"":""WTK568"",""dep_terminal"":""N"",""dep_gate"":""15"",""departed_scheduled"":""2022-06-02T21:05"",""departed_actual"":""2022-06-02T21:01"",""arrived_scheduled"":""2022-06-02T23:30"",""arrived_actual"":""2022-06-02T23:20""}"
2022-06-06T09:19,1334,TAP,OPO,LGW,795,economy,,"{""aircraft"":""Embraer 195"",""seat_type"":""AISLE"",""pnr"":""WTK568"",""arr_terminal"":""N"",""departed_scheduled"":""2022-06-06T08:55"",""departed_actual"":""2022-06-06T09:19"",""arrived_actual"":""2022-06-06T11:27""}"
2022-10-13T15:12,6938,AAL,LGW,JFK,3461,economy,,"{""aircraft"":""Boeing 777-200 ER"",""pnr"":""SNPMJY"",""dep_terminal"":""S"",""dep_gate"":""27"",""arr_terminal"":""7"",""arr_gate"":""6"",""departed_scheduled"":""2022-10-13T15:00"",""departed_actual"":""2022-10-13T15:12"",""arrived_scheduled"":""2022-10-13T18:00"",""arrived_actual"":""2022-10-13T18:22""}"
2022-10-17T10:18,4672,AAL,JFK,CLE,424,economy,,"{""aircraft"":""Embraer 175"",""seat"":""22F"",""seat_type"":""WINDOW"",""pnr"":""SNPMJY"",""dep_terminal"":""8"",""dep_gate"":""40"",""arr_terminal"":""Main"",""arr_gate"":""C7"",""departed_scheduled"":""2022-10-17T10:30"",""departed_actual"":""2022-10-17T10:18"",""arrived_scheduled"":""2022-10-17T12:24"",""arrived_actual"":""2022-10-17T12:03""}"
2022-10-24T14:08,4630,AAL,CLE,ORD,315,economy,,"{""aircraft"":""Embraer 175"",""seat"":""22F"",""pnr"":""SNPMJY"",""dep_terminal"":""Main"",""dep_gate"":""C3"",""arr_terminal"":""3"",""arr_gate"":""L3"",""departed_scheduled"":""2022-10-24T14:10"",""departed_actual"":""2022-10-24T14:08"",""arrived_scheduled"":""2022-10-24T14:46"",""arrived_actual"":""2022-10-24T14:36""}"
2022-10-24T17:07,294,BAW,ORD,LHR,3942,premium_economy,,"{""aircraft"":""Airbus A380"",""seat"":""63F"",""seat_type"":""AISLE"",""pnr"":""SNPMJY"",""dep_terminal"":""5"",""arr_terminal"":""5"",""departed_scheduled"":""2022-10-24T17:05"",""departed_actual"":""2022-10-24T17:07"",""arrived_scheduled"":""2022-10-25T06:50"",""arrived_actual"":""2022-10-25T06:41""}"
2023-05-15T07:10,8301,EZY,LGW,MXP,559,economy,,"{""aircraft"":""Airbus A319"",""seat"":""22E"",""seat_type"":""MIDDLE"",""pnr"":""K55WB46"",""dep_terminal"":""N"",""dep_gate"":""45B"",""arr_terminal"":""1"",""arr_gate"":""B"",""departed_scheduled"":""2023-05-15T06:55"",""departed_actual"":""2023-05-15T07:10"",""arrived_scheduled"":""2023-05-15T10:00"",""arrived_actual"":""2023-05-15T10:12""}"
2023-05-17T19:22,8310,EZY,MXP,LGW,559,economy,,"{""aircraft"":""Airbus A320"",""seat"":""11D"",""seat_type"":""AISLE"",""pnr"":""K55WB46"",""dep_terminal"":""1"",""arr_terminal"":""N"",""departed_scheduled"":""2023-05-17T18:35"",""departed_actual"":""2023-05-17T19:22"",""arrived_scheduled"":""2023-05-17T19:30"",""arrived_actual"":""2023-05-17T20:18""}"
2023-06-07T14:54,1018,KLM,LHR,AMS,231,economy,,"{""aircraft"":""Boeing 737-800"",""seat"":""14D"",""seat_type"":""AISLE"",""pnr"":""MYS5LJ"",""dep_terminal"":""4"",""dep_gate"":""21"",""arr_terminal"":""Main"",""arr_gate"":""D3"",""departed_scheduled"":""2023-06-07T14:45"",""departed_actual"":""2023-06-07T14:54"",""arrived_scheduled"":""2023-06-07T17:00"",""arrived_actual"":""2023-06-07T16:55""}"
2023-06-07T21:20,1581,KLM,AMS,ATH,1356,economy,,"{""aircraft"":""Boeing 737-800"",""seat"":""11D"",""seat_type"":""AISLE"",""pnr"":""MYS5LJ"",""dep_terminal"":""Main"",""dep_gate"":""D73"",""departed_scheduled"":""2023-06-07T21:15"",""departed_actual"":""2023-06-07T21:20"",""arrived_scheduled"":""2023-06-08T01:30"",""arrived_actual"":""2023-06-08T01:31""}"
2023-06-10T23:30,5746,WUK,ATH,LGW,1487,economy,,"{""aircraft"":""Airbus A321neo"",""seat"":""4F"",""seat_type"":""WINDOW"",""pnr"":""GCVDMS"",""dep_gate"":""C30"",""arr_terminal"":""0"",""departed_scheduled"":""2023-06-10T23:30"",""arrived_scheduled"":""2023-06-11T01:30""}"
2023-07-03T07:39,8719,EZY,LGW,CPH,612,economy,,"{""aircraft"":""Airbus A319"",""seat"":""3C"",""seat_type"":""AISLE"",""pnr"":""K5HRMB1"",""dep_terminal"":""N"",""dep_gate"":""53"",""arr_terminal"":""2"",""departed_scheduled"":""2023-07-03T07:30"",""departed_actual"":""2023-07-03T07:39"",""arrived_scheduled"":""2023-07-03T10:25"",""arrived_actual"":""2023-07-03T10:23""}"
2023-07-05T18:09,8722,EZY,CPH,LGW,612,economy,,"{""aircraft"":""Airbus A319"",""seat"":""19C"",""seat_type"":""AISLE"",""pnr"":""K5HRMB1"",""dep_terminal"":""2"",""arr_terminal"":""N"",""departed_scheduled"":""2023-07-05T17:20"",""departed_actual"":""2023-07-05T18:09"",""arrived_scheduled"":""2023-07-05T18:25"",""arrived_actual"":""2023-07-05T19:03""}"
2023-08-14T06:43,8629,EZY,LGW,BER,591,economy,,"{""aircraft"":""Airbus A319"",""seat"":""3B"",""seat_type"":""MIDDLE"",""pnr"":""K5PQZDM"",""dep_terminal"":""N"",""dep_gate"":""45H"",""arr_terminal"":""1"",""arr_gate"":""N1"",""departed_scheduled"":""2023-08-14T06:40"",""departed_actual"":""2023-08-14T06:43"",""arrived_scheduled"":""2023-08-14T09:40"",""arrived_actual"":""2023-08-14T09:27:35""}"
2023-08-16T18:37,8626,EZY,BER,LGW,591,economy,,"{""aircraft"":""Airbus A320"",""seat"":""4F"",""seat_type"":""WINDOW"",""pnr"":""K5PQZDM"",""dep_terminal"":""1"",""dep_gate"":""C19"",""arr_terminal"":""N"",""departed_scheduled"":""2023-08-16T17:45"",""departed_actual"":""2023-08-16T18:37"",""arrived_scheduled"":""2023-08-16T18:50"",""arrived_actual"":""2023-08-16T19:32""}"
2023-09-11T06:08,8672,EZY,LGW,AMS,227,economy,,"{""aircraft"":""Airbus A319"",""seat"":""5A"",""seat_type"":""WINDOW"",""pnr"":""EZY8672"",""dep_terminal"":""N"",""dep_gate"":""45C"",""arr_terminal"":""Main"",""departed_scheduled"":""2023-09-11T06:00"",""departed_actual"":""2023-09-11T06:08"",""arrived_scheduled"":""2023-09-11T08:25"",""arrived_actual"":""2023-09-11T08:17""}"
