iata_code,icao_code,name,city,country,latitude,longitude
WBQ,PAWB,"Beaver Airport",Beaver,US,66.362198,-147.406998
SWD,PAWD,"Seward Airport",Seward,US,60.130478,-149.418612
WRG,PAWG,"Wrangell Airport",Wrangell,US,56.48429871,-132.3699951
AIN,PAWI,"Wainwright Airport",Wainwright,US,70.638,-159.994995
WMO,PAWM,"White Mountain Airport","White Mountain",US,64.689201,-163.412994
WTK,PAWN,"Noatak Airport",Noatak,US,67.561241,-162.980461
WWA,PAWS,"Wasilla Airport",Wasilla,US,61.571701,-149.539993
YAK,PAYA,"Yakutat Airport",Yakutat,US,59.508717,-139.660435
CIS,PCIS,"Canton Island Airport",Abariringa,KI,-2.76812005043,-171.710006714
PCQ,,"Boun Neau Airport",Phongsaly,LA,21.6475,101.9
PDR,,"Presidente José Sarney Airport","Presidente Dutra",BR,-5.3098,-44.481
PTL,,"Walter Braedt Segú Airport",Máncora,PE,-4.08687,-81.02577
BLP,,"Huallaga Airport",Bellavista,PE,-7.06056,-76.582199
PEB,,"Pebane Airport",Pebane,MZ,-17.27276,38.18073
PEC,,"Pelican Seaplane Base",Pelican,US,57.9552,-136.235992
AKI,PFAK,"Akiak Airport",Akiak,US,60.902646,-161.23106
AET,PFAL,"Allakaket Airport",Allakaket,US,66.551804,-152.621994
NCN,PFCB,"Chenega Bay Airport",Chenega,US,60.077602,-147.99468
CLP,PFCL,"Clarks Point Airport","Clarks Point",US,58.833698,-158.529007
ELI,PFEL,"Elim Airport",Elim,US,64.6147,-162.272003
KUK,PFKA,"Kasigluk Airport",Kasigluk,US,60.872747,-162.5247
KNK,PFKK,"Kokhanok Airport",Kokhanok,US,59.433248,-154.80217
KOT,PFKO,"Kotlik Airport",Kotlik,US,63.030602,-163.533005
KTS,PFKT,"Brevig Mission Airport","Brevig Mission",US,65.331826,-166.467848
KYU,PFKU,"Koyukuk Airport",Koyukuk,US,64.876099,-157.727005
KWT,PFKW,"Kwethluk Airport",Kwethluk,US,60.790298,-161.444
ORV,PFNO,"Robert (Bob) Curtis Memorial Airport",Noorvik,US,66.817902,-161.018997
SKK,PFSH,"Shaktoolik Airport",Shaktoolik,US,64.371101,-161.223999
TKJ,PFTO,"Tok Junction Airport",Tok,US,63.32949829,-142.9539948
WSN,PFWS,"South Naknek Number 2 Airport","South Naknek",US,58.702362,-157.005444
FYU,PFYU,"Fort Yukon Airport","Fort Yukon",US,66.571651,-145.249987
CPN,,"Cape Rodney Airport","Cape Rodney",PG,-10.179823004,148.379030228
ESA,,"Esa'ala Airport",Esa'ala,PG,-9.87432702318,150.954208374
MZN,,"Minj Airport",Minj,PG,-5.902962,144.686586
SMP,,"Stockholm Landing Strip",Stockholm,PG,-4.35,151.55
BRH,,"Brahman Airstrip","Brahman Mission",PG,-5.741032,145.378518
BIJ,,"Biliau Airport",,PG,-5.577463,146.33401
TAJ,,"Tadji Airport",Aitape,PG,-3.198192,142.430964
IHU,,"Ihu Airport",Ihu,PG,-7.89756,145.395996
